class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_a,rough_a,slp_d,sp_a
not,0,15.3882999,-1.58865,0.696514,2.2851601,0.159176,2.7720399,4.5904799,-9.9520998
not,1804.729981,8.57584,0.0418204,-0.0438402,-0.0856606,0.495849,4.2101698,12.7529001,2.30762
not,1555.800049,7.39362,-0.041745,0.0450705,0.0868155,0.387155,4.2499199,18.3759995,-0.665771
not,418.0190125,6.1521702,-0.292743,-0.277038,0.015705,0.496371,2.5448501,14.3304005,-3.1775501
not,62.1941986,5.6129098,0.417978,1.1997,0.781722,0.222007,2.67033,12.5247002,-8.7082996
not,765.9719849,6.7093201,0.526711,0.284294,-0.242417,0.495579,2.5660801,6.26337,0.255966
not,1140.680054,5.9410701,2.7176099,0.479202,-2.23841,0.87699,3.4703,13.3129997,13.3599997
not,527.4530029,8.9911404,-0.125235,-0.07158,0.0536551,0.568581,2.4139299,5.7588902,0.795288
not,1959.300049,6.0241098,-0.0001507,0.089842,0.0899927,0.767382,2.8891699,4.1518698,7.87187
not,123.9850006,9.3247404,-0.543514,-0.470609,0.0729057,0.432902,2.0518301,5.5020599,-3.12836
not,1341.449951,6.58463,0.0084394,0.247636,0.239197,0.58483,3.2081699,13.9638996,2.33443
not,1561.98999,6.7597098,0.376082,0.301315,-0.0747676,0.549391,3.60201,15.5516005,2.2091701
not,2014.880005,6.9603701,-0.108432,-0.0402516,0.0681799,0.752626,3.0777199,8.0994997,6.1120601
not,1645.130005,7.5358701,0.367944,-0.0035443,-0.371488,0.624902,3.32424,10.8738003,4.7439399
not,226.9980011,5.8111701,0.924268,0.169045,-0.755223,0.559966,2.04653,5.1324,1.8224601
not,2251.840088,6.3875599,-0.334412,-0.351135,-0.016723,0.499391,3.3503799,11.4136,-1.60562
not,682.4299927,6.0844698,0.451359,0.162271,-0.289087,0.736008,1.9506,3.9094801,2.96259
not,2163.060059,6.9050598,1.2543499,0.314207,-0.940141,0.42044,5.18926,24.2856998,-2.0770099
not,3581.659912,7.6227198,-0.0755027,-0.222584,-0.147081,0.49339,3.04669,9.1706495,-0.720062
not,722.7349854,6.8208199,0.501732,0.247061,-0.254671,0.399853,4.5654602,29.0881004,-12.0677004
not,4655.660156,6.9221501,0.409086,0.484374,0.0752881,0.576289,3.63076,11.6949997,4.95364
not,1576.890015,6.13833,-0.292743,-0.100868,0.191875,0.811752,2.1605999,7.3794298,7.1051202
not,1035.079956,6.7848802,0.0706802,0.0710291,0.0003489,0.615319,2.44012,5.8108101,1.7039599
not,133.1369934,4.7346301,2.2578101,0.667585,-1.59023,0.258775,2.9862299,14.7657003,-9.6470299
not,422.5840149,5.34024,0.334488,0.301066,-0.0334216,0.484622,2.5558901,16.0496998,-1.45047
not,567.3800049,7.3550601,0.121166,0.106522,-0.0146438,0.506484,1.55501,3.2932501,-0.138824
not,161.878006,7.7123299,-0.167282,-0.0668749,0.100407,0.58476,1.89308,7.6424599,-0.885132
not,2121.76001,6.6492,0.0794964,0.0371627,-0.0423337,0.554181,2.99581,10.9933004,2.1043501
not,3908.909912,7.0004802,0.70213,0.486043,-0.216088,0.655043,4.3400502,22.3010006,5.0135999
