FID,POINTID,GRID_CODE,class,predB1,predB2,predB3,predB4,predB5,predB6,predB7,predB8,predB9,predB10,predB11,predB12,predB13,predB14,predB15,predB16,predB17,predB18,imgB1,imgB2,imgB3,imgB4,imgB5,pca1,pca2,ndvi,ndvir,skp,diff,lst,grd,all,frst,grdr,lstr,allr,frstr,rand,rand2,rand3,id_2,rand4,rand5,pcaxB1,pcaxB2,pcaxB3,pcaxB4,pcaxB5
2231,36177,3,shrub,5657,4924,3210,4363,6279,11038,7149,43355,37747,10131,1484,1473,541,1706,37,37,37,27,5657.000000000000000,4924.000000000000000,3210.000000000000000,4363.000000000000000,6279.000000000000000,11038,7149,0.3234270,0.1522510,25.9990997,3.2375200,22.8332996,8.3333302,22.6667004,26.2500000,37,37,37,27,0,3,0,3,1,1,10907,7200,8416,5151,1942
2232,36181,3,shrub,5932,4836,3262,4199,5953,10928,7543,42326,36874,9959,1620,1538,1495,1698,30,30,30,27,5932.000000000000000,4836.000000000000000,3262.000000000000000,4199.000000000000000,5953.000000000000000,10928,7543,0.2920240,0.1255860,25.8295002,2.8431699,24.9333000,23.0000000,23.6667004,26.1333008,30,30,30,27,0,3,0,3,1,1,10811,7588,8570,5320,1854
2233,36186,3,shrub,5808,4811,3240,4181,6342,11027,7162,43365,36914,10903,1876,1858,546,2003,41,41,41,26,5808.000000000000000,4811.000000000000000,3240.000000000000000,4181.000000000000000,6342.000000000000000,11027,7162,0.3237320,0.1268020,20.3288002,5.0075698,28.8679008,8.3999996,28.5862007,30.8234997,41,41,41,26,0,3,0,3,1,1,10890,7206,8562,5261,1742
2234,36197,1,barren,9373,8399,7723,6662,5828,16973,10980,28178,30343,8720,1480,1480,1480,1480,15,15,15,15,9373.000000000000000,8399.000000000000000,7723.000000000000000,6662.000000000000000,5828.000000000000000,16973,10980,-0.1398420,-0.0737574,3.1609001,0.0000000,22.7826004,22.7826004,22.7826004,22.7826004,15,15,15,15,0,1,0,1,1,1,17085,10742,7505,5568,1789
2235,36201,1,barren,9601,8548,7626,6631,5789,17075,11129,28273,30473,8803,1293,1293,1294,1293,8,8,8,8,9601.000000000000000,8548.000000000000000,7626.000000000000000,6631.000000000000000,5789.000000000000000,17075,11129,-0.1369360,-0.0697903,12.5153999,0.1908870,19.9032001,19.9090996,19.9032001,19.9032001,8,8,8,8,0,1,0,1,1,1,17188,10877,7731,5496,1820
2236,36243,3,shrub,5742,4077,3004,3719,5058,9767,7973,41106,36244,10584,1139,1203,422,1566,31,31,31,21,5742.000000000000000,4077.000000000000000,3004.000000000000000,3719.000000000000000,5058.000000000000000,9767,7973,0.2547750,0.1063510,23.5753002,4.2756000,17.5263004,6.5000000,18.5184994,24.1053009,31,31,31,21,0,3,0,3,1,1,9667,8064,8583,5734,1801
2237,36255,3,shrub,5778,5014,3683,4834,7093,11919,6637,43126,37187,9472,1992,1879,2309,1953,41,41,41,40,5778.000000000000000,5014.000000000000000,3683.000000000000000,4834.000000000000000,7093.000000000000000,11919,6637,0.3164440,0.1351410,5.9032898,1.7265600,30.6499996,35.5293999,28.9090996,30.0487995,41,41,41,40,0,3,0,3,1,1,11765,6644,8204,5335,1859
2238,36257,3,shrub,5784,4816,3321,4251,6465,11140,7066,43284,36783,9838,1518,1523,1290,1643,38,38,38,26,5784.000000000000000,4816.000000000000000,3321.000000000000000,4251.000000000000000,6465.000000000000000,11140,7066,0.3212750,0.1228210,4.6160998,2.5657001,23.3659000,19.8570995,23.4347992,25.2856998,38,38,38,26,0,3,0,3,1,1,11000,7107,8495,5283,1727
2239,36258,3,shrub,5787,4699,3265,4407,6918,11349,6638,44512,37636,9639,1976,1945,2643,1945,38,38,38,38,5787.000000000000000,4699.000000000000000,3265.000000000000000,4407.000000000000000,6918.000000000000000,11349,6638,0.3587350,0.1488530,4.7217598,2.1080301,30.4146004,40.6666985,29.9286003,29.9286003,38,38,38,38,0,3,0,3,1,1,11180,6660,8561,5381,1740
2240,36260,3,shrub,5499,5144,3337,4504,7214,11619,6395,44797,37635,9433,1704,1569,1985,1917,43,43,43,37,5499.000000000000000,5144.000000000000000,3337.000000000000000,4504.000000000000000,7214.000000000000000,11619,6395,0.3674530,0.1488330,2.8842700,1.6353800,26.2285995,30.5499992,24.1457996,29.5000000,43,43,43,37,1,3,0,3,1,1,11453,6431,8335,4928,1750
2241,36263,3,shrub,5792,4517,3059,4090,6370,10790,7018,44263,37484,10777,1460,1358,227,1659,37,37,37,31,5792.000000000000000,4517.000000000000000,3059.000000000000000,4090.000000000000000,6370.000000000000000,10790,7018,0.3511510,0.1442160,19.4440994,4.7196698,22.4666996,3.5000000,20.8946991,25.5333004,37,37,37,31,1,3,0,3,1,1,10637,7063,8693,5424,1728
2242,36271,3,shrub,5927,4696,3290,4188,5979,10884,7491,42263,36694,9885,1941,1941,0,1941,0,20,20,20,5927.000000000000000,4696.000000000000000,3290.000000000000000,4188.000000000000000,5979.000000000000000,10884,7491,0.2901070,0.1200860,24.1998005,2.6734600,29.8666992,0.0000000,29.8666992,29.8666992,0,20,20,20,0,3,0,3,1,1,10762,7536,8555,5438,1813
2243,36272,3,shrub,6106,4853,3693,4404,5896,11257,7760,40286,35636,9186,1832,1832,2177,1832,22,22,22,22,6106.000000000000000,4853.000000000000000,3693.000000000000000,4404.000000000000000,5896.000000000000000,11257,7760,0.2297420,0.0878103,26.6184006,1.0706199,28.1875000,33.5000000,28.1875000,28.1875000,22,22,22,22,0,3,0,3,1,1,11157,7789,8355,5551,1818
2244,36273,3,shrub,6041,4933,3902,4493,5831,11354,7850,39252,35066,9609,1317,1284,1313,1343,19,19,19,19,6041.000000000000000,4933.000000000000000,3902.000000000000000,4493.000000000000000,5831.000000000000000,11354,7850,0.1981920,0.0703991,28.5289993,2.0400100,20.2667007,20.2000008,19.7646999,20.6667004,19,19,19,19,0,3,0,3,1,1,11268,7883,8142,5547,1818
2245,36275,3,shrub,5689,4755,3388,4325,6455,11122,7026,42967,36739,10099,1799,1773,325,1959,47,47,47,33,5689.000000000000000,4755.000000000000000,3388.000000000000000,4325.000000000000000,6455.000000000000000,11122,7026,0.3115920,0.1214830,19.7886009,3.1635399,27.6800003,5.0000000,27.2908993,30.1457996,47,47,47,33,1,3,0,3,1,1,10984,7071,8363,5337,1758
2246,36279,3,shrub,5453,4623,3183,4318,6589,10926,6727,44178,37717,9576,1747,1672,1351,1862,42,42,42,37,5453.000000000000000,4623.000000000000000,3183.000000000000000,4318.000000000000000,6589.000000000000000,10926,6727,0.3485470,0.1513130,22.6968002,1.9637800,26.8889008,20.7856998,25.7357998,28.6522007,42,42,42,37,0,3,0,3,1,1,10773,6784,8349,5290,1818
2247,36291,1,barren,9461,8681,7934,6685,5862,17253,11117,27839,29961,8803,1782,1782,1814,1782,10,10,10,10,9461.000000000000000,8681.000000000000000,7934.000000000000000,6685.000000000000000,5862.000000000000000,17253,11117,-0.1501880,-0.0854368,4.6686802,0.1915890,27.4286003,27.9130001,27.4286003,27.4286003,10,10,10,10,1,1,0,1,1,1,17378,10873,7434,5430,1712
2248,36303,1,barren,8667,7988,7400,6149,5173,15792,11065,26957,29735,8945,1652,1652,1705,1652,17,17,17,17,8667.000000000000000,7988.000000000000000,7400.000000000000000,6149.000000000000000,5173.000000000000000,15792,11065,-0.1771260,-0.0923315,15.9385004,0.5175170,25.4242001,26.2353001,25.4242001,25.4242001,17,17,17,17,0,1,0,1,1,1,15922,10908,7244,5456,1730
